北京,北京,北京,CN101010100
海淀,北京,北京,CN101010200
朝阳,北京,北京,CN101010300
顺义,北京,北京,CN101010400
怀柔,北京,北京,CN101010500
通州,北京,北京,CN101010600
昌平,北京,北京,CN101010700
延庆,北京,北京,CN101010800
丰台,北京,北京,CN101010900
石景山,北京,北京,CN101011000
大兴,北京,北京,CN101011100
房山,北京,北京,CN101011200
密云,北京,北京,CN101011300
门头沟,北京,北京,CN101011400
平谷,北京,北京,CN101011500
东城,北京,北京,CN101011600
西城,北京,北京,CN101011700
上海,上海,上海,CN101020100
闵行,上海,上海,CN101020200
宝山,上海,上海,CN101020300
黄浦,上海,上海,CN101020400
嘉定,上海,上海,CN101020500
浦东新区,上海,上海,CN101020600
金山,上海,上海,CN101020700
青浦,上海,上海,CN101020800
松江,上海,上海,CN101020900
奉贤,上海,上海,CN101021000
崇明,上海,上海,CN101021100
徐汇,上海,上海,CN101021200
长宁,上海,上海,CN101021300
静安,上海,上海,CN101021400
普陀,上海,上海,CN101021500
虹口,上海,上海,CN101021600
杨浦,上海,上海,CN101021700
天津,天津,天津,CN101030100
武清,天津,天津,CN101030200
宝坻,天津,天津,CN101030300
东丽,天津,天津,CN101030400
西青,天津,天津,CN101030500
北辰,天津,天津,CN101030600
宁河,天津,天津,CN101030700
和平,天津,天津,CN101030800
静海,天津,天津,CN101030900
津南,天津,天津,CN101031000
滨海新区,天津,天津,CN101031100
河东,天津,天津,CN101031200
河西,天津,天津,CN101031300
蓟州,天津,天津,CN101031400
南开,天津,天津,CN101031500
河北,天津,天津,CN101031600
红桥,天津,天津,CN101031700
重庆,重庆,重庆,CN101040100
永川,重庆,重庆,CN101040200
合川,重庆,重庆,CN101040300
南川,重庆,重庆,CN101040400
江津,重庆,重庆,CN101040500
渝北,重庆,重庆,CN101040700
北碚,重庆,重庆,CN101040800
巴南,重庆,重庆,CN101040900
长寿,重庆,重庆,CN101041000
黔江,重庆,重庆,CN101041100
渝中,重庆,重庆,CN101041200
万州,重庆,重庆,CN101041300
涪陵,重庆,重庆,CN101041400
城口,重庆,重庆,CN101041600
云阳,重庆,重庆,CN101041700
巫溪,重庆,重庆,CN101041800
奉节,重庆,重庆,CN101041900
巫山,重庆,重庆,CN101042000
潼南,重庆,重庆,CN101042100
垫江,重庆,重庆,CN101042200
梁平,重庆,重庆,CN101042300
忠县,重庆,重庆,CN101042400
石柱,重庆,重庆,CN101042500
大足,重庆,重庆,CN101042600
荣昌,重庆,重庆,CN101042700
铜梁,重庆,重庆,CN101042800
璧山,重庆,重庆,CN101042900
丰都,重庆,重庆,CN101043000
武隆,重庆,重庆,CN101043100
彭水,重庆,重庆,CN101043200
綦江,重庆,重庆,CN101043300
酉阳,重庆,重庆,CN101043400
大渡口,重庆,重庆,CN101043500
秀山,重庆,重庆,CN101043600
江北,重庆,重庆,CN101043700
沙坪坝,重庆,重庆,CN101043800
九龙坡,重庆,重庆,CN101043900
南岸,重庆,重庆,CN101044000
开州,重庆,重庆,CN101044100
哈尔滨,黑龙江,哈尔滨,CN101050101
双城,黑龙江,哈尔滨,CN101050102
呼兰,黑龙江,哈尔滨,CN101050103
阿城,黑龙江,哈尔滨,CN101050104
宾县,黑龙江,哈尔滨,CN101050105
依兰,黑龙江,哈尔滨,CN101050106
巴彦,黑龙江,哈尔滨,CN101050107
通河,黑龙江,哈尔滨,CN101050108
方正,黑龙江,哈尔滨,CN101050109
延寿,黑龙江,哈尔滨,CN101050110
尚志,黑龙江,哈尔滨,CN101050111
五常,黑龙江,哈尔滨,CN101050112
木兰,黑龙江,哈尔滨,CN101050113
道里,黑龙江,哈尔滨,CN101050114
南岗,黑龙江,哈尔滨,CN101050115
道外,黑龙江,哈尔滨,CN101050116
平房,黑龙江,哈尔滨,CN101050117
松北,黑龙江,哈尔滨,CN101050118
香坊,黑龙江,哈尔滨,CN101050119
齐齐哈尔,黑龙江,齐齐哈尔,CN101050201
讷河,黑龙江,齐齐哈尔,CN101050202
龙江,黑龙江,齐齐哈尔,CN101050203
甘南,黑龙江,齐齐哈尔,CN101050204
富裕,黑龙江,齐齐哈尔,CN101050205
依安,黑龙江,齐齐哈尔,CN101050206
拜泉,黑龙江,齐齐哈尔,CN101050207
克山,黑龙江,齐齐哈尔,CN101050208
克东,黑龙江,齐齐哈尔,CN101050209
泰来,黑龙江,齐齐哈尔,CN101050210
龙沙,黑龙江,齐齐哈尔,CN101050211
建华,黑龙江,齐齐哈尔,CN101050212
铁锋,黑龙江,齐齐哈尔,CN101050213
昂昂溪,黑龙江,齐齐哈尔,CN101050214
富拉尔基,黑龙江,齐齐哈尔,CN101050215
碾子山,黑龙江,齐齐哈尔,CN101050216
梅里斯,黑龙江,齐齐哈尔,CN101050217
牡丹江,黑龙江,牡丹江,CN101050301
海林,黑龙江,牡丹江,CN101050302
穆棱,黑龙江,牡丹江,CN101050303
林口,黑龙江,牡丹江,CN101050304
绥芬河,黑龙江,牡丹江,CN101050305
